book_id,goodreads_book_id,title,authors,original_publication_year,tags
110,10572,"A Clash of Kings  (A Song of Ice and Fire, #2)",George R.R. Martin,1998.0,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites magic owned-books re-read adventure sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks my-library english books read-in-2016 own-it library audio novel scifi-fantasy read-in-2015 shelfari-favorites kindle to-buy read-in-2014 ebook read-in-english science-fiction-fantasy on-my-shelf my-bookshelf bookshelf fantasy-scifi have audio-books action read-in-2013 fantasy-fiction read-in-2011 finished borrowed sci-fi fiction-fantasy fantasia dragons science-fiction adult adult-fiction sci-fi-and-fantasy speculative-fiction 20th-century abandoned audible ebooks audio-book sf-fantasy did-not-finish on-hold historical epic-fantasy high-fantasy epic war paperback fantasía tbr historical-fiction american e-books e-book kindle-books drama read-in-2012 nook medieval read-2012 read-2013 dark-fantasy read-2014 a-song-of-ice-and-fire game-of-thrones george-r-r-martin song-of-ice-and-fire asoiaf george-rr-martin adult-fantasy
111,10441,The Memory Keeper's Daughter,Kim Edwards,2005.0,to-read favorites currently-reading fiction books-i-own owned favourites owned-books default my-books i-own audiobook novels audiobooks my-library own-it library audio novel to-buy contemporary have adult book-club adult-fiction literature abandoned wish-list did-not-finish realistic-fiction general-fiction historical-fiction literary-fiction bookclub contemporary-fiction drama family book-club-books book-group chick-lit 2006 book-club-reads family-relationships kim-edwards twins
112,15507958,"Me Before You (Me Before You, #1)",Jojo Moyes,2012.0,to-read favorites fiction books-i-own owned ya series owned-books re-read all-time-favorites default audiobook favorite-books favorite audiobooks my-library british books audio read-in-2015 kindle romance to-buy read-in-2014 ebook contemporary read-in-2017 england on-my-shelf have audio-books finished read-2015 funny adult book-club abandoned wish-list audible ebooks audio-book must-read recommended did-not-finish dnf movies realistic general-fiction literary-fiction e-books e-book kindle-books favoritos 4-stars relationships chick-lit stand-alone love book-to-movie book-club-reads death summer-reading want-to-read romantic chicklit sad love-story love-stories chic-lit tear-jerkers 2014-books loved maybe library-books read-2013 read-2017 read-2014 suicide 2015-reading-challenge bought 2013-reads womens-fiction books-that-made-me-cry women-s-fiction 2014-reads on-my-bookshelf adult-romance 2015-books 2014-read library-book emotional jojo-moyes books-read-in-2016 me-before-you summer-2016 2016-challenge tearjerker heartbreaking assisted-suicide ugly-cry
113,168668,Catch-22,Joseph Heller,1961.0,to-read favorites currently-reading fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english books own-it library audio novel shelfari-favorites kindle to-buy to-re-read ebook contemporary bookshelf classic rory-gilmore-reading-challenge humor comedy humour funny adult 1001-books book-club adult-fiction satire 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die wish-list ebooks modern-classics must-read unfinished to-reread recommended did-not-finish to-read-fiction dnf on-hold history historical didn-t-finish classic-literature home-library war gave-up-on school read-for-school general-fiction historical-fiction literary-fiction contemporary-fiction american american-literature classics-to-read american-lit classic-fiction to-read-classics classic-lit literary never-finished couldn-t-finish lit rory-gilmore-challenge rory-gilmore gave-up own-to-read dystopia high-school wwii banned-books military world-war-ii ww2 world-war-2 rory-gilmore-reading-list stopped-reading could-not-finish top-100
114,6900,Tuesdays with Morrie,"Mitch Albom, Saulius Dagys",1997.0,to-read favorites currently-reading young-adult fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english books my-favorites own-it library audio novel made-me-cry shelfari-favorites kindle to-buy read-in-2014 ebook contemporary classic finished borrowed friendship rory-gilmore-reading-challenge adult book-club adult-fiction literature wish-list must-read recommended nonfiction non-fiction philosophy memoir memoirs biography autobiography school read-for-school for-school school-books general-fiction bookclub contemporary-fiction american drama rory-gilmore-challenge rory-gilmore religion spirituality psychology spiritual self-help philosophical life high-school inspirational inspiring inspiration relationships biographies death biography-memoir memoir-biography biographies-memoirs life-lessons death-and-dying tear-jerker mitch-albom
115,2187,Middlesex,Jeffrey Eugenides,2002.0,to-read favorites currently-reading fiction books-i-own owned favourites owned-books all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english my-favorites own-it library audio novel faves shelfari-favorites kindle to-buy read-in-2014 ebook contemporary coming-of-age audio-books finished borrowed rory-gilmore-reading-challenge adult 1001-books book-club adult-fiction 1001 literature abandoned 1001-books-to-read-before-you-die wish-list audible unfinished recommended did-not-finish to-read-fiction dnf history historical didn-t-finish america usa 1001-books-you-must-read-before-you realistic-fiction general-fiction historical-fiction pulitzer pulitzer-prize pulitzer-prize-winners literary-fiction bookclub pulitzer-winners pulitzers contemporary-fiction american american-literature american-lit 1001-books-to-read literary couldn-t-finish drama rory-gilmore-challenge family oprah-s-book-club rory-gilmore oprah book-club-books book-group modern-fiction 21st-century book-club-reads greece lgbt lgbtq glbt queer sexuality gender lgbtqia detroit michigan pulitzer-fiction 2000s award-winners hermaphrodite
116,24583,The Adventures of Tom Sawyer,"Mark Twain, Guy Cardwell, John Seelye",1876.0,to-read favorites currently-reading young-adult fiction books-i-own owned ya series favourites childrens owned-books re-read adventure children children-s childhood default my-books classics i-own audiobook children-s-books kids novels middle-grade audiobooks my-library english books own-it childrens-books library audio novel juvenile kindle youth to-buy to-re-read childhood-favorites kids-books ebook coming-of-age children-s-literature children-s-lit childhood-books classic audio-books middle-school humor adult adult-fiction literature wish-list audible ebooks history historical america usa classic-literature home-library realistic-fiction school read-for-school for-school school-books read-in-school childhood-reads read-as-a-kid general-fiction historical-fiction literary-fiction 19th-century american american-literature classics-to-read american-lit classic-fiction to-read-classics my-ebooks e-books e-book classic-lit the-classics literary fiction-classics high-school clàssics banned-books american-classics classics-read nook 1800s southern mark-twain twain 8th-grade-books missouri
117,18131,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine L'Engle,1962.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites magic childrens owned-books re-read adventure children children-s sci-fi-fantasy childhood all-time-favorites default my-books classics reread i-own audiobook children-s-books favorite-books kids novels fantasy-sci-fi favorite middle-grade audiobooks my-library ya-fantasy teen ya-fiction own-it childrens-books library audio young-adult-fiction novel scifi-fantasy juvenile kindle youth to-buy to-re-read childhood-favorites kids-books coming-of-age science-fiction-fantasy read-in-2017 children-s-literature children-s-lit childhood-books fantasy-scifi classic juvenile-fiction read-again sci-fi childrens-lit children-young-adult ya-lit middle-school time-travel science-fiction scifi sf book-club literature science sci-fi-and-fantasy speculative-fiction 20th-century wish-list to-reread school read-for-school newbery for-school school-books childhood-reads chapter-books read-as-a-kid newberry childrens-literature family to-read-again kid-lit children-s-fiction children-ya childrens-fiction banned-books newbery-medal newbery-award newbery-winners
118,7763,The Joy Luck Club,Amy Tan,1989.0,to-read favorites currently-reading fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own favorite-books novels my-library own-it library novel kindle to-buy contemporary coming-of-age classic rory-gilmore-reading-challenge adult book-club adult-fiction literature 20th-century wish-list history historical realistic-fiction school read-for-school for-school school-books general-fiction historical-fiction literary-fiction bookclub contemporary-fiction american american-literature literary drama rory-gilmore-challenge family rory-gilmore culture high-school modern-fiction asian chick-lit cultural women asian-literature china chinese asian-lit feminism female-authors gilmore-girls rory-gilmore-reading-list asian-american amy-tan multicultural
119,38447,The Handmaid's Tale,Margaret Atwood,1985.0,to-read fantasy favorites currently-reading fiction books-i-own owned favourites owned-books re-read sci-fi-fantasy all-time-favorites default my-books classics reread i-own audiobook favorite-books novels fantasy-sci-fi audiobooks my-library english read-in-2016 library audio novel scifi-fantasy read-in-2015 kindle to-buy read-in-2014 to-re-read ebook contemporary science-fiction-fantasy read-in-2017 classic audio-books sci-fi female-author science-fiction scifi sf adult 1001-books book-club adult-fiction 1001 literature speculative-fiction 20th-century abandoned 1001-books-to-read-before-you-die wish-list audible ebooks modern-classics did-not-finish to-read-fiction school read-for-school for-school canada general-fiction literary-fiction bookclub contemporary-fiction literary drama horror religion politics dystopia dystopian banned-books women feminism gender female-authors post-apocalyptic canadian futuristic dystopias distopia kindle-unlimited canadian-literature dystopian-fiction dystopia-utopia read-2017 feminist women-writers our-shared-shelf canadian-lit margaret-atwood 2017-reads 2017-books 2017-reading-challenge 2017-read
120,452306,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",Ann Brashares,2001.0,to-read favorites currently-reading young-adult fiction books-i-own owned ya series favourites childrens owned-books re-read children children-s childhood default my-books i-own audiobook children-s-books novels audiobooks my-library teen ya-fiction own-it library audio young-adult-fiction 2005 youth romance to-buy childhood-favorites contemporary coming-of-age childhood-books movie ya-books borrowed ya-lit middle-school friendship humor book-club movies realistic-fiction realistic general-fiction contemporary-fiction drama high-school chick-lit book-to-movie summer-reading chicklit chic-lit young-adult-lit teen-fiction youngadult ya-contemporary girly ann-brashares summer summer-reads Ýa-fiction teen-books teens
121,7604,Lolita,"Vladimir Nabokov, Craig Raine",1955.0,to-read favorites currently-reading fiction books-i-own owned favourites owned-books re-read all-time-favorites default classics reread i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books read-in-2016 own-it library audio novel faves shelfari-favorites kindle romance favourite to-buy to-re-read ebook contemporary classic read-in-2013 borrowed book-club adult-fiction 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die wish-list audible ebooks modern-classics must-read unfinished to-reread did-not-finish to-read-fiction didn-t-finish usa classic-literature gave-up-on 1001-books-you-must-read-before-you tbr realistic-fiction school general-fiction historical-fiction literary-fiction bookclub contemporary-fiction american-literature classics-to-read classic-fiction to-read-classics erotica classic-lit the-classics literary couldn-t-finish lit drama dark psychology russian russian-literature russian-lit clàssics banned-books love personal-library modern college sexuality 1950s modern-library-100 banned controversial disturbing vladimir-nabokov erotic modern-classic
122,37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)","Gregory Maguire, Douglas Smith",1995.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites magic owned-books re-read adventure sci-fi-fantasy all-time-favorites default my-books classics i-own audiobook favorite-books novels fantasy-sci-fi favorite audiobooks paranormal my-library witches books supernatural own-it library audio novel scifi-fantasy shelfari-favorites kindle romance to-buy contemporary science-fiction-fantasy fantasy-scifi classic have audio-books borrowed sci-fi fiction-fantasy books-i-have rory-gilmore-reading-challenge science-fiction adult book-club adult-fiction literature sci-fi-and-fantasy speculative-fiction abandoned wish-list audible unfinished did-not-finish on-hold didn-t-finish high-fantasy home-library paperback gave-up-on tbr general-fiction literary-fiction bookclub contemporary-fiction never-finished couldn-t-finish drama rory-gilmore-challenge rory-gilmore gave-up own-to-read other book-club-books modern-fiction 2006 personal-library fairy-tales fairy-tale fairytales stopped-reading retellings fairytale adult-fantasy gregory-maguire oz retelling could-not-finish wicked wizard-of-oz
123,5358,"The Firm (Penguin Readers, Level 5)",John Grisham,1991.0,to-read favorites currently-reading fiction books-i-own owned owned-books default my-books novels mystery library novel contemporary adult adult-fiction general-fiction contemporary-fiction american drama crime thriller suspense mystery-thriller mysteries mystery-suspense thrillers suspense-thriller crime-thriller mystery-crime john-grisham grisham legal-thriller legal grisham-john law legal-thrillers legal-fiction
124,7937843,Room,Emma Donoghue,2010.0,to-read favorites currently-reading young-adult fiction books-i-own owned favourites owned-books all-time-favorites default my-books i-own audiobook 5-stars favorite-books novels audiobooks my-library english read-in-2016 mystery own-it library audio novel read-in-2015 shelfari-favorites kindle to-buy read-in-2014 ebook contemporary read-in-2017 on-my-shelf audio-books read-in-2013 read-in-2011 borrowed female-author read-2016 read-2015 adult book-club adult-fiction literature abandoned wish-list audible ebooks audio-book recommended did-not-finish dnf didn-t-finish tbr survival realistic-fiction general-fiction literary-fiction bookclub contemporary-fiction e-books e-book literary drama family horror crime thriller suspense dark psychology book-club-books book-group modern-fiction stand-alone 21st-century book-club-reads read-in-2012 mental-health female-authors abuse canadian read-2012 maybe read-in-2010 psychological reviewed read-2011 2016-reads 2016-reading-challenge disturbing 2011-reads kidnapping 2016-books abduction child-narrator captivity emma-donoghue
125,1420,Hamlet,"William Shakespeare, Richard Andrews, Rex Gibson",1600.0,to-read fantasy favorites currently-reading fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics reread i-own 5-stars favorite-books novels favorite read-more-than-once my-library english british books read-in-2016 own-it library read-in-2015 kindle romance to-buy read-in-2014 to-re-read read-in-english england classic british-literature rory-gilmore-reading-challenge adult adult-fiction literature ebooks historical europe classic-literature home-library english-literature school read-for-school for-school school-books read-in-school school-reads historical-fiction classics-to-read classic-fiction poetry my-ebooks classic-lit the-classics literary lit drama rory-gilmore-challenge rory-gilmore murder high-school school-reading required-reading read-in-high-school tragedy books-for-school classics-read 4-stars college university plays shakespeare play theatre theater teatro 17th-century william-shakespeare british-lit ghosts renaissance denmark brit-lit assigned-reading ap-lit death uni for-class english-lit hamlet revenge classici clásicos
126,234225,Dune (Dune Chronicles #1),Frank Herbert,1965.0,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites owned-books re-read adventure sci-fi-fantasy all-time-favorites default my-books classics reread i-own audiobook favorite-books novels fantasy-sci-fi favorite audiobooks my-library english books own-it library audio novel scifi-fantasy shelfari-favorites kindle to-buy to-re-read ebook science-fiction-fantasy fantasy-scifi classic audio-books read-again sci-fi science-fiction scifi sf adult book-club space adult-fiction literature science sci-fi-and-fantasy speculative-fiction 20th-century abandoned wish-list audible ebooks audio-book sf-fantasy fantascienza must-read unfinished to-reread recommended did-not-finish science-fiction-and-fantasy to-read-fiction dnf on-hold philosophy epic fantasy-science-fiction fantasy-and-sci-fi war dune frank-herbert space-opera american bbc-big-read 1960s religion hugo hugo-award hugo-winners sff politics dystopia dystopian classic-sci-fi maybe sf-masterworks sword-and-laser ciencia-ficción nebula-award sciencefiction nebula sf-f
127,2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,2000.0,to-read favorites currently-reading books-i-own owned owned-books default my-books audiobook audiobooks my-library english own-it library audio shelfari-favorites kindle to-buy ebook audio-books adult book-club science abandoned wish-list audible ebooks audio-book unfinished history nonfiction non-fiction philosophy to-read-non-fiction to-read-nonfiction non-fiction-to-read non-fic educational politics sociology culture business psychology self-help self-improvement economics personal-development general business-books leadership society social-science social education social-sciences management professional marketing malcolm-gladwell work psych
128,11084145,Steve Jobs,Walter Isaacson,2011.0,to-read favorites currently-reading books-i-own owned favourites owned-books default my-books audiobook audiobooks my-library english books library audio kindle to-buy ebook audio-books book-club science abandoned wish-list audible ebooks audio-book unfinished did-not-finish on-hold history nonfiction non-fiction memoir memoirs biography autobiography business technology design tech entrepreneurship leadership read-in-2012 biographies management biography-memoir memoir-biography biographies-memoirs biography-autobiography biographical bio innovation computers bios apple steve-jobs people biografie
129,332613,One Flew Over the Cuckoo's Nest,Ken Kesey,1962.0,to-read favorites currently-reading fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english books read-in-2016 own-it library audio novel kindle to-buy read-in-2014 to-re-read ebook contemporary classic movie rory-gilmore-reading-challenge humor adult 1001-books book-club adult-fiction 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die wish-list ebooks modern-classics must-read unfinished did-not-finish to-read-fiction america usa classic-literature home-library movies 1001-books-you-must-read-before-you realistic-fiction school read-for-school for-school school-books general-fiction historical-fiction literary-fiction contemporary-fiction american american-literature classics-to-read american-lit classic-fiction to-read-classics classic-lit literary lit drama rory-gilmore-challenge 1960s rory-gilmore psychology high-school modern-fiction banned-books book-to-movie modern mental-health time-100 rory-gilmore-reading-list 50-books-to-read-before-you-die mental-illness psychological banned modern-classic
130,2165,The Old Man and the Sea,Ernest Hemingway,1952.0,to-read favorites currently-reading young-adult fiction books-i-own owned favourites owned-books re-read adventure all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english books read-in-2016 library audio novel read-in-2015 kindle to-buy read-in-2014 to-re-read ebook read-in-english read-in-2017 classic read-in-2013 finished borrowed adult 1001-books book-club adult-fiction 1001 literature 20th-century 1001-books-to-read-before-you-die wish-list ebooks modern-classics usa classic-literature 1001-books-you-must-read-before-you realistic-fiction school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction pulitzer pulitzer-prize pulitzer-prize-winners literary-fiction pulitzer-winners pulitzers american american-literature classics-to-read american-lit classic-fiction to-read-classics classic-lit the-classics روايات nobel-prize nobel literary lit drama short-stories fiction-classics high-school clàssics school-reading novella required-reading american-classics novellas hemingway ernest-hemingway cuba 1950s fishing nobel-laureates short sea
131,4395,The Grapes of Wrath,John Steinbeck,1939.0,to-read favorites currently-reading young-adult fiction books-i-own owned favourites owned-books re-read all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english own-it library audio novel shelfari-favorites kindle to-buy to-re-read ebook classic read-again rory-gilmore-reading-challenge adult 1001-books book-club adult-fiction 1001 literature 20th-century abandoned 1001-books-to-read-before-you-die wish-list modern-classics must-read unfinished to-reread did-not-finish to-read-fiction history historical america usa classic-literature 1001-books-you-must-read-before-you school read-for-school for-school school-books read-in-school school-reads general-fiction historical-fiction pulitzer pulitzer-prize pulitzer-prize-winners literary-fiction pulitzer-winners american american-literature american-lit classic-fiction to-read-classics classic-lit the-classics bbc-big-read nobel-prize nobel literary lit drama rory-gilmore-challenge rory-gilmore california high-school john-steinbeck banned-books steinbeck required-reading read-in-high-school american-classics 1930s americana summer-reading poverty gilmore-girls 50-books-to-read-before-you-die modern-library-100 great-depression
132,3431,The Five People You Meet in Heaven,Mitch Albom,2003.0,to-read favorites currently-reading fiction books-i-own owned re-read all-time-favorites audiobook favorite my-favorites own-it kindle contemporary finished rory-gilmore-reading-challenge literature ebooks must-read nonfiction school bookclub contemporary-fiction rory-gilmore-challenge rory-gilmore spiritual life inspiration book-club-books modern-fiction christian religious 2004 death faith rory-gilmore-reading-list christian-fiction afterlife life-lessons death-and-dying albom
133,8127,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,1908.0,to-read favorites currently-reading young-adult fiction books-i-own owned ya series favourites childrens owned-books re-read children children-s childhood all-time-favorites default my-books reread i-own audiobook 5-stars children-s-books favorite-books kids novels favorite middle-grade audiobooks read-more-than-once my-library teen read-in-2016 re-reads ya-fiction my-favorites own-it childrens-books library audio young-adult-fiction novel read-in-2015 juvenile shelfari-favorites kindle youth romance to-buy to-re-read childhood-favorites kids-books ebook coming-of-age read-in-2017 children-s-literature children-s-lit childhood-books classic audio-books juvenile-fiction childrens-lit children-young-adult middle-school friendship book-club literature 20th-century wish-list audible ebooks audio-book historical realistic-fiction school childhood-reads canada read-as-a-kid general-fiction historical-fiction children-s-classics childhood-favourites childrens-literature childrens-classics classics-to-read to-read-classics family read-aloud kid-lit children-s-fiction children-ya chick-lit canadian children-books read-as-a-child l-m-montgomery canadian-literature anne-of-green-gables orphans
134,3777732,"City of Glass (The Mortal Instruments, #3)",Cassandra Clare,2009.0,to-read fantasy favorites currently-reading young-adult fiction books-i-own owned ya series favourites magic owned-books re-read sci-fi-fantasy all-time-favorites default reread i-own audiobook 5-stars favorite-books fantasy-sci-fi favorite audiobooks paranormal my-library ya-fantasy teen witches urban-fantasy books read-in-2016 supernatural ya-fiction my-favorites own-it library audio young-adult-fiction faves favorite-series read-in-2015 shelfari-favorites kindle favourite to-buy read-in-2014 ebook contemporary read-in-english favourite-books my-bookshelf bookshelf favs have action read-in-2013 read-in-2011 finished young-adult-fantasy ya-books sci-fi books-i-have read-2016 read-2015 werewolves ebooks tbr dystopian 4-stars love read-in-2012 fairies faeries lgbt teen-fiction loved paranormal-romance read-2013 read-2014 vampires vampire 2013-reads paranormal-fantasy demons angels fae on-my-bookshelf ya-paranormal fantasy-paranormal angels-demons cassandra-clare the-mortal-instruments mortal-instruments shadowhunters angels-and-demons book-boyfriends mortal-instruments-series nephilim
135,62291,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,2000.0,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites magic owned-books re-read adventure sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks my-library english books read-in-2016 own-it library audio novel scifi-fantasy faves read-in-2015 shelfari-favorites kindle romance to-buy read-in-2014 ebook contemporary read-in-english science-fiction-fantasy my-bookshelf bookshelf fantasy-scifi have audio-books action read-in-2013 fantasy-fiction read-in-2011 finished sci-fi fiction-fantasy fantasia dragons science-fiction adult adult-fiction sci-fi-and-fantasy speculative-fiction audible ebooks audio-book sf-fantasy on-hold historical epic-fantasy high-fantasy epic fantasy-science-fiction war fantasía tbr historical-fiction american e-books e-book kindle-books drama politics read-in-2012 nook medieval read-2012 read-2013 dark-fantasy read-2014 a-song-of-ice-and-fire game-of-thrones george-r-r-martin song-of-ice-and-fire asoiaf george-rr-martin adult-fantasy martin
136,137791,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,1996.0,to-read favorites currently-reading fiction books-i-own owned series owned-books default novels my-library novel contemporary coming-of-age friendship rory-gilmore-reading-challenge humor adult book-club adult-fiction general-fiction historical-fiction bookclub contemporary-fiction drama rory-gilmore-challenge family rory-gilmore chick-lit women gilmore-girls rory-gilmore-reading-list chicklit southern chic-lit southern-fiction southern-lit
137,10964,"Outlander (Outlander, #1)",Diana Gabaldon,1991.0,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites magic owned-books re-read adventure sci-fi-fantasy all-time-favorites default my-books reread i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks paranormal read-in-2016 supernatural my-favorites own-it library audio scifi-fantasy faves favorite-series read-in-2015 shelfari-favorites kindle romance to-buy read-in-2014 ebook read-in-2017 on-my-shelf audio-books read-in-2013 sci-fi re-reading read-2016 read-2015 time-travel séries science-fiction adult book-club adult-fiction abandoned wish-list audible ebooks audio-book unfinished recommended did-not-finish dnf on-hold history historical didn-t-finish epic gave-up-on tbr historical-fiction e-books e-book kindle-books never-finished couldn-t-finish drama historical-romance love nook 18th-century first-in-series historical-fantasy maybe paranormal-romance guilty-pleasures diana-gabaldon scotland outlander-series gabaldon highlanders read-2014 highlander romance-historical reviewed 2015-reading-challenge 2014-reads
138,12296,The Scarlet Letter,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850.0,to-read favorites young-adult books-i-own owned favourites owned-books re-read all-time-favorites default my-books i-own audiobook novels audiobooks my-library english books own-it library novel romance to-buy to-re-read ebook on-my-shelf bookshelf have read-again rory-gilmore-reading-challenge adult 1001-books book-club adult-fiction 1001 literature abandoned 1001-books-to-read-before-you-die wish-list unfinished to-reread did-not-finish history historical america usa classic-literature home-library 1001-books-you-must-read-before-you school read-for-school for-school school-books read-in-school school-reads literary-fiction 19th-century american american-literature classics-to-read american-lit classic-fiction to-read-classics e-books e-book classic-lit kindle-books the-classics 1001-books-to-read literary lit drama rory-gilmore-challenge rory-gilmore religion fiction-classics high-school banned-books school-reading required-reading read-in-high-school american-classics books-for-school classics-read women personal-library college assigned-reading ap-lit feminism nook rory-gilmore-reading-list 1800s english-class highschool high-school-reads new-england adultery nathaniel-hawthorne puritans
139,9460487,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",Ransom Riggs,2011.0,to-read fantasy favorites young-adult fiction books-i-own owned ya series favourites magic childrens owned-books adventure children sci-fi-fantasy default my-books i-own audiobook favorite-books novels fantasy-sci-fi audiobooks paranormal my-library ya-fantasy teen english urban-fantasy books read-in-2016 supernatural mystery ya-fiction own-it library audio young-adult-fiction read-in-2015 kindle romance to-buy read-in-2014 ebook contemporary read-in-english coming-of-age read-in-2017 on-my-shelf my-bookshelf bookshelf read-in-2013 read-in-2011 ya-books borrowed sci-fi ya-lit read-2016 read-2015 time-travel science-fiction book-club abandoned wish-list ebooks unfinished did-not-finish dnf on-hold historical didn-t-finish tbr historical-fiction bookclub e-books e-book magical-realism horror thriller gothic suspense book-club-books 4-stars read-in-2012 want-to-read modern-fantasy photography teen-fiction read-2012 library-books read-2014 reviewed 2016-reads 2016-reading-challenge creepy 2014-reads on-my-bookshelf 2016-books ransom-riggs
140,6892870,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)","Stieg Larsson, Reg Keeland",2007.0,to-read favorites currently-reading fiction books-i-own owned series favourites owned-books adventure all-time-favorites default my-books i-own audiobook 5-stars favorite-books novels favorite audiobooks my-library english books mystery own-it library audio novel read-in-2015 shelfari-favorites kindle to-buy ebook contemporary bookshelf have audio-books action read-in-2013 read-in-2011 finished borrowed adult book-club adult-fiction literature abandoned audible ebooks audio-book europe realistic-fiction general-fiction contemporary-fiction e-books e-book kindle-books translated drama translation crime thriller suspense mystery-thriller detective journalism modern-fiction mysteries mystery-suspense popular-fiction thrillers suspense-thriller crime-mystery crime-thriller thriller-mystery mystery-crime thriller-suspense murder-mystery mystery-thrillers crime-fiction read-in-2012 nook read-2012 trilogy read-in-2010 read-2011 swedish scandinavian sweden scandinavia read-2010 nordic-noir stieg-larsson millennium lisbeth-salander larsson millenium the-millenium-trilogy krimi nordic
141,18007564,The Martian,Andy Weir,2012.0,to-read fantasy favorites currently-reading books-i-own owned favourites owned-books adventure sci-fi-fantasy all-time-favorites default my-books i-own audiobook 5-stars favorite-books novels fantasy-sci-fi favorite audiobooks my-library english books read-in-2016 own-it library audio novel scifi-fantasy faves read-in-2015 kindle to-buy read-in-2014 ebook contemporary read-in-english science-fiction-fantasy fantasy-scifi audio-books action movie borrowed sci-fi read-2016 read-2015 science-fiction humor humour funny sf adult book-club adult-fiction science sci-fi-and-fantasy speculative-fiction abandoned wish-list audible ebooks audio-book unfinished recommended did-not-finish dnf didn-t-finish movies tbr survival action-adventure general-fiction bookclub contemporary-fiction e-books e-book kindle-books drama thriller book-club-books stand-alone book-to-movie 21st-century library-books read-2014 2016-reads 2015-reading-challenge 2016-reading-challenge sword-and-laser standalone mars 2015-reads 2015-books 2015-read books-read-in-2015 2016-books 2015-challenge 2016-read andy-weir
142,5043,"The Pillars of the Earth (The Kingsbridge Series, #1)",Ken Follett,1989.0,to-read fantasy favorites currently-reading fiction books-i-own owned series favourites owned-books re-read adventure all-time-favorites default my-books classics i-own audiobook favorite-books novels favorite audiobooks my-library english british mystery my-favorites own-it library audio novel shelfari-favorites kindle romance to-buy ebook contemporary england classic audio-books british-literature read-in-2011 finished borrowed séries adult book-club adult-fiction literature 20th-century abandoned wish-list audible ebooks audio-book unfinished recommended did-not-finish to-read-fiction dnf on-hold history historical didn-t-finish europe epic gave-up-on general-fiction historical-fiction literary-fiction bookclub contemporary-fiction bbc-big-read couldn-t-finish drama fiction-to-read oprah-s-book-club oprah thriller religion own-to-read book-club-books fiction-historical historic-fiction oprahs-book-club architecture uk middle-ages medieval maybe historicalfiction ken-follett cathedrals 12th-century follett historical-novel historical-novels historic follett-ken
